ZONA,Provincia,CodigodeProvincia,Canton,CodigodeCanton,Parroquia,CodigodeParroquia,CodigoInstitucion,NombreInstitucion,TipodeEducacion,NivelEducacion,Sostenimiento,ZonaINEC,RegimenEscolar,Jurisdiccion,Modallidad,Jornada,Tenenciadelinmueble,FormaAcceso,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Estudiantes_Docentes
ZONA 3,TUNGURAHUA,18,AMBATO,1801,ATAHUALPA (CHISALATA),180152,18H00168,ESCUELA DE EDUCACION BASICA LOS NOGALES,Educación Regular,Inicial y EGB,Particular Laico,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,6,1,7,43,59,102,14.57142857
ZONA 1,ESMERALDAS,8,ELOY ALFARO,802,TELEMBI,80261,08B00035,CECIB JOSE ZAPATA,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Bilingüe,Presencial,Matutina,Propio,Fluvial,2,4,6,78,79,157,26.16666667
ZONA 8,GUAYAS,9,GUAYAQUIL,901,XIMENA,90114,09H02429,ESCUELA DE EDUCACIÓN BÁSICA FISCAL BARBARA MARIDUEÑA DE MORAN,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,9,4,13,171,195,366,28.15384615
ZONA 4,MANABI,13,CHONE,1303,CHONE,130301,13H00953,ELOY ALFARO,Educación Regular,Educación Básica,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,2,3,16,23,39,13
ZONA 7,LOJA,11,PUYANGO,1110,ALAMOR,111050,11H01299,ESCUELA DE EDUCACION BASICA PROFESORA MARIA LIVIA GRANDA,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,1,4,5,5
ZONA 7,LOJA,11,LOJA,1101,EL SAGRARIO,110101,11H00001,ESCUELA DE EDUCACION BASICA MIGUEL RIOFRIO,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,51,19,70,503,1023,1526,21.8
ZONA 4,MANABI,13,CHONE,1303,CHONE,130301,13H00948,POLIVIO LOPEZ PANTA,Educación Regular,EGB y Bachillerato,Fiscal,UrbanaINEC,Costa,Hispana,Semipresencial,Nocturna,Comodato,Terrestre,11,2,13,70,21,91,7
ZONA 9,PICHINCHA,17,QUITO,1701,MARISCAL SUCRE,170123,17H00680,UNIDAD EDUCATIVA FISCAL MANUELA CAÑIZARES,Educación Regular,EGB y Bachillerato,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,"Matutina, Vesperina y Nocturna",Propio,Terrestre,117,51,168,2512,1786,4298,25.58333333
ZONA 4,MANABI,13,MANTA,1308,TARQUI,130804,13H02432,ESCUELA DE   EDUCACIÓN BÁSICA FISCAL “DORA LYA CASTRO DEMERA,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,11,2,13,161,145,306,23.53846154
ZONA 4,MANABI,13,PORTOVIEJO,1301,FRANCISCO PACHECO,130107,13H00476,ESCUELA DE EDUCACION BASICA HERMOGENES BARCIA,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,9,2,11,110,118,228,20.72727273
ZONA 2,ORELLANA,22,LA JOYA DE LOS SACHAS,2203,TRES DE NOVIEMBRE,220357,22H00329,CIUDAD DE BELEN,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,8,3,11,54,71,125,11.36363636
ZONA 5,BOLIVAR,2,GUARANDA,201,FACUNDO VELA,20151,02B00104,CECIB DE EB MUSHUK  PAKARI,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Bilingüe,Presencial,Matutina,Propio,Terrestre,0,1,1,10,11,21,21
ZONA 7,LOJA,11,ZAPOTILLO,1113,PALETILLAS,111354,11H01603,ESCUELA DE EDUCACION BASICA PIO DE VALDIVIESO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,9,5,14,14
ZONA 4,MANABI,13,MONTECRISTI,1309,LEONIDAS PROAÑO,130905,13H02617,UNIDAD  EDUCATIVA FISCAL “JACOBO VERA VELÁSQUEZ,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,22,6,28,329,375,704,25.14285714
ZONA 4,MANABI,13,MONTECRISTI,1309,MONTECRISTI,130902,13H02767,ESCUELA DE EDUCACION  BASICA PARTICULAR “VICTORIA CARREÑO DE MACIAS,Educación Regular,Inicial y EGB,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,8,2,10,91,80,171,17.1
ZONA 7,EL ORO,7,SANTA ROSA,712,SANTA ROSA,71201,07H01107,UNIDAD EDUCATIVA PARTICULAR CEPWOL   ALTAMIRA,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,16,8,24,191,218,409,17.04166667
ZONA 8,GUAYAS,9,GUAYAQUIL,901,TARQUI,90112,09H02781,UNIDAD EDUCATIVA PARTICULAR DR MANUEL AGUSTIN AGUIRRE RIOS,Educación Regular,EGB y Bachillerato,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Vespertina,Arriendo,Terrestre,5,2,7,59,59,118,16.85714286
ZONA 7,EL ORO,7,MACHALA,701,MACHALA,70102,07H00320,UNIDAD EDUCATIVA  CIUDAD DE MACHALA,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,44,13,57,754,786,1540,27.01754386
ZONA 4,SANTO DOMINGO DE LOS TSACHILAS,23,LA CONCORDIA,2302,MONTERREY,230251,08H01475,TACITO ORTIZ URRIOLA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,2,10,12,12
ZONA 4,MANABI,13,SANTA ANA,1313,HONORATO VASQUEZ,131352,13H03308,ESCUELA DE EDUCACION BASICA 24 DE MAYO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,2,3,17,14,31,10.33333333
ZONA 1,ESMERALDAS,8,ATACAMES,806,TONSUPA,80654,08H01341,ESCUELA DE EDUCACION BASICA  ZOILA UGARTE DE LANDIVAR,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,27,3,30,298,300,598,19.93333333
ZONA 5,GUAYAS,9,PEDRO CARBO,914,PEDRO CARBO,91450,09H04498,ESCUELA DE EDUCACION BASICA DOS DE AGOSTO,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,10,4,14,153,137,290,20.71428571
ZONA NO DELIMITADA,Zona No Delimitada,90,ZND Pichincha - Esmeraldas - Imbabura,9001,LAS GOLONDRINAS,900151,10H00325,SANTA ANA DE COTACACHI,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,37,21,58,562,631,1193,20.56896552
ZONA 9,PICHINCHA,17,QUITO,1701,ITCHIMBIA,170113,17H03109,MAGICO CIELO,Educación Regular,Inicial,Particular Laico,UrbanaINEC,Sierra,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,2,0,2,2,3,5,2.5
ZONA 5,LOS RIOS,12,VINCES,1208,VINCES CENTRAL,120802,12H01371,ESCUELA DE EDUCACION BASICA SAN PEDRO ALEJANDRINO,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Prestado,Terrestre,1,0,1,17,13,30,30
ZONA 3,PASTAZA,16,PASTAZA,1601,SIMON BOLIVAR,160162,16B00129,CHARIP,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,2,1,3,40,25,65,21.66666667
ZONA 9,PICHINCHA,17,QUITO,1701,GUAMANI,170111,17H00410,TIMOTEO,Educación Regular,Inicial y EGB,Particular Laico,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Arriendo,Terrestre,1,0,1,23,18,41,41
ZONA 7,EL ORO,7,PASAJE,709,LOMA DE FRANCO,70902,07H00805,ESCUELA DE EDUCACIÓN BÁSICA RUMIÑAHUI,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,20,4,24,251,244,495,20.625
ZONA 7,LOJA,11,SOZORANGA,1112,SOZORANGA,111250,11H01498,ESCUELA DE EDUCACION BASICA LUIS EMILIANO FLORES LUZURIAGA,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,2,4,6,6
ZONA 8,GUAYAS,9,GUAYAQUIL,901,FEBRES CORDERO,90104,09H00169,UNIDAD EDUCATIVA NUMA POMPILIO LLONA,Educación Regular,EGB y Bachillerato,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,28,10,38,476,535,1011,26.60526316
ZONA 4,MANABI,13,PAJAN,1310,CAMPOZANO (LA PALMA DE PAJAN),131051,13H02884,14 DE SEPTIEMBRE,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,8,9,17,17
ZONA 6,MORONA SANTIAGO,14,TAISHA,1409,MACUMA,140952,14B00317,CECIB  DE EDUCACIÓN BÁSICA YAPU,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,0,1,1,13,16,29,29
ZONA 3,COTOPAXI,5,LATACUNGA,501,POALO,50158,05H00176,ESCUELA DE EDUCACION BASICA MARIA MALDONADO ENRIQUEZ,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,25,30,55,27.5
ZONA 8,GUAYAS,9,GUAYAQUIL,901,XIMENA,90114,09H02391,UNIDAD EDUCATIVA FISCAL ESPECIALIZADA LA FLORESTA,Educación Especial,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,32,9,41,87,161,248,6.048780488
ZONA 5,LOS RIOS,12,VINCES,1208,VINCES CENTRAL,120802,12H01346,ARISTIDES PINTO OLVERA,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,8,1,9,91,100,191,21.22222222
ZONA 4,MANABI,13,MANTA,1308,TARQUI,130804,13H02562,ESCUELA DE EDUCACION BASICA PARTICULAR  SALVADOR DALI,Educación Regular,Inicial y EGB,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,9,18,27,13.5
ZONA 8,GUAYAS,9,GUAYAQUIL,901,TARQUI,90112,09H01214,ESCUELA DE EDUCACION BASICA FISCAL DR TEODORO ALVARADO OLEA,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,8,1,9,127,133,260,28.88888889
ZONA 6,AZUAY,1,GUALACEO,103,MARIANO MORENO,10354,01H01045,ESCUELA DE EDUCACION BASICA CESAR ASTUDILLO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,5,3,8,8
ZONA 4,MANABI,13,PORTOVIEJO,1301,ABDON CALDERON (SAN FRANCISCO),130151,13H00536,EUGENIO ESPEJO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,12,4,16,16
ZONA 5,GUAYAS,9,SALITRE,919,GRAL. VERNAZA (DOS ESTEROS),91951,09H04869,ESCUELA DE EDUCACIÓN BÁSICA JUAN PÍO MONTÚFAR,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,4,0,4,46,52,98,24.5
ZONA 4,MANABI,13,JUNIN,1307,JUNIN,130750,13H02112,UNIDAD EDUCATIVA FISCOMISIONAL MARIA MERCEDES,Educación Regular,EGB y Bachillerato,Fiscomisional,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,12,6,18,181,170,351,19.5
ZONA 4,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO DE LOS TSACHILAS,2301,RIO VERDE,230105,23H00193,FRANCISCO MENGHINI,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,21,4,25,269,301,570,22.8
ZONA 5,GUAYAS,9,BALZAR,904,BALZAR,90450,09H03050,UNIDAD EDUCATIVA ALVARADO,Educación Regular,"Educación Básica, Bachillerato y Artesanal P.P.",Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,12,6,18,155,145,300,16.66666667
ZONA 4,SANTO DOMINGO DE LOS TSACHILAS,23,LA CONCORDIA,2302,LA CONCORDIA,230250,23H00767,UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAZ EXT 93 A,Educación Regular,EGB y Bachillerato,Fiscomisional,RuralINEC,Costa,Hispana,Semipresencial,Matutina,Arriendo,Terrestre,6,6,12,261,332,593,49.41666667
ZONA 5,GUAYAS,9,SAN JACINTO DE YAGUACHI,920,GRAL. PEDRO J. MONTERO (BOLICHE),92053,09H05036,ESCUELA DE EDUCACION BASICA GENERAL  PINTAG,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,18,19,37,18.5
ZONA 3,CHIMBORAZO,6,GUAMOTE,606,CEBADAS,60651,06B00478,FRANCISCO MANCERO,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,1,1,2,20,12,32,16
ZONA 9,PICHINCHA,17,QUITO,1701,COCHAPAMBA,170104,17H02938,UNIDAD EDUCATIVA PARTICULAR VIRGILIO DROUET,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Laico,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,16,11,27,76,88,164,6.074074074
ZONA 8,GUAYAS,9,GUAYAQUIL,901,FEBRES CORDERO,90104,09H00345,ESCUELA DE EDUCACION BASICA PABLO PALACIO,Educación Regular,Inicial y EGB,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,9,0,9,216,196,412,45.77777778
ZONA 6,MORONA SANTIAGO,14,GUALAQUIZA,1402,BOMBOIZA,140253,14B00077,ESCUELA DE EDUCACIÓN BÁSICA INTERCULTURAL BILINGUE JOSE ANTONIO PAATI,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,1,0,1,7,5,12,12
ZONA 9,PICHINCHA,17,QUITO,1701,RUMIPAMBA,170127,17H00323,CRISTIANO VERBO,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Religioso,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,22,7,29,166,147,313,10.79310345
ZONA 1,IMBABURA,10,IBARRA,1001,SAN FRANCISCO,100104,10H00131,UNIDAD EDUCATIVA VICTOR MANUEL GUZMAN,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,"Matutina, Vesperina y Nocturna",Propio,Terrestre,61,39,100,1067,875,1942,19.42
ZONA 8,GUAYAS,9,GUAYAQUIL,901,TARQUI,90112,09H00752,ESCUELA DE EDUCACION BASICA FISCAL RODRIGO CHAVEZ GONZALEZ,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,15,2,17,222,212,434,25.52941176
ZONA 1,ESMERALDAS,8,MUISNE,803,SAN FRANCISCO,80356,08H01449,ESCUELA  DE  EDUCACION BASICA  REPUBLICA DE PARAGUAY,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Cesión de derechos,Terrestre,0,1,1,5,8,13,13
ZONA 2,ORELLANA,22,LORETO,2204,SAN VICENTE DE HUATICOCHA,220455,22B00158,CECIB WAMAK URKU,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,1,0,1,10,8,18,18
ZONA 1,IMBABURA,10,COTACACHI,1003,APUELA,100351,10H00292,MARIA ESTHER CEVALLOS,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,8,14,22,22
ZONA 6,CAÑAR,3,EL TAMBO,305,EL TAMBO,30550,03H00576,ESCUELA DE EDUCACION BASICA ALFONSO MARIA ORTIZ,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,25,4,29,312,328,640,22.06896552
ZONA 5,LOS RIOS,12,PALENQUE,1209,PALENQUE,120950,12H01481,UNIDAD EDUCATIVA INDOAMERICA,Educación Regular,EGB y Bachillerato,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,13,2,15,136,127,263,17.53333333
ZONA 3,CHIMBORAZO,6,GUAMOTE,606,PALMIRA,60652,06B00511,CAPITAN GEOVANNY CALLES LASCANO,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,0,3,3,29,16,45,15
ZONA 3,CHIMBORAZO,6,RIOBAMBA,601,SAN JUAN,60160,06H00493,UNIDAD EDUCATIVA SAN JUAN,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,23,10,33,326,243,569,17.24242424
ZONA 7,LOJA,11,PINDAL,1114,PINDAL,111450,11H01658,ESCUELA DE EDUCACION BASICA ALFREDO PEREZ GUERRERO,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,3,3,6,6
ZONA 1,ESMERALDAS,8,QUININDE,804,ROSA ZARATE (QUININDE),80450,08H00820,ESCUELA  DE EDUCACIÓN BÁSICA  RICARDO CORNEJO,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,14,14,28,28
ZONA 5,GUAYAS,9,SALITRE,919,JUNQUILLAL,91953,09H03363,UNIDAD EDUCATIVA MATILDE HIDALGO DE PROCEL,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,15,8,23,312,344,656,28.52173913
ZONA 7,LOJA,11,SARAGURO,1111,SAN PABLO DE TENTA,111156,11H01443,ESCUELA DE EDUCACION BASICA EL VERGEL,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,4,5,19,28,47,9.4
ZONA 4,MANABI,13,MANTA,1308,SANTA MARIANITA (BOCA DE PACOCHE),130852,13H05377,UNIDAD EDUCATIVA NAIDELYN NAOMI MERO ARCENTALES,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,7,3,10,114,133,247,24.7
ZONA 1,ESMERALDAS,8,QUININDE,804,MALIMPIA,80453,08H01569,ESCUELA EGB FISCAL UNION Y PROGRESO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,5,9,14,14
ZONA 6,AZUAY,1,CUENCA,101,TOTORACOCHA,10113,01H01672,EL CONDOR,Educación Regular,Inicial,Municipal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina y Vespertina,Arriendo,Terrestre,4,1,5,17,21,38,7.6
ZONA 7,EL ORO,7,EL GUABO,706,EL GUABO,70650,07H00907,ESCUELA DE EDUCACIÓN BASICA 15 DE MAYO,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,4,4,8,8
ZONA 2,ORELLANA,22,LA JOYA DE LOS SACHAS,2203,TRES DE NOVIEMBRE,220357,22H00299,DESTACAMENTO CONDOR MIRADOR,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,6,15,21,21
ZONA 5,GUAYAS,9,EL TRIUNFO,909,EL TRIUNFO,90950,09H04081,ESCUELA DE EDUCACIÓN BÁSICA PRIMERO  DE  AGOSTO,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,14,0,14,210,211,421,30.07142857
ZONA 1,ESMERALDAS,8,QUININDE,804,CHURA (CHANCAMA),80452,08H00898,ESCUELA DE EDUCACIÓN BÁSICA RIO ESMERALDAS,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Fluvial,1,0,1,16,21,37,37
ZONA 9,PICHINCHA,17,QUITO,1701,SAN BARTOLO,170128,17H04222,CDI MARIA CRISTINA,Educación Regular,Inicial,Particular Laico,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,4,0,4,34,26,60,15
ZONA 6,AZUAY,1,CUENCA,101,SIDCAY,10166,01H00833,UNIDAD EDUCATIVA DORA BEATRIZ CANELOS,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,15,5,20,166,139,305,15.25
ZONA 9,PICHINCHA,17,QUITO,1701,QUITUMBE,170126,17H01420,NUEVOS HORIZONTES DEL SUR  N1,Educación Regular,EGB y Bachillerato,Particular Laico,UrbanaINEC,Sierra,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,3,7,10,2,9,11,1.1
ZONA 3,TUNGURAHUA,18,AMBATO,1801,MATRIZ,180107,18H00127,UNIDAD EDUCATIVA PCEI JUAN DELFIN FONSECA,Popular Permanente,EGB y Bachillerato,Particular Laico,UrbanaINEC,Sierra,Hispana,A Distancia,Matutina,Propio,Terrestre,2,1,3,91,150,241,80.33333333
ZONA 1,ESMERALDAS,8,ELOY ALFARO,802,TELEMBI,80261,08B00065,TEPUINBI,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Bilingüe,Presencial,Matutina,Propio,Fluvial,0,1,1,11,16,27,27
ZONA 7,ZAMORA CHINCHIPE,19,YACUAMBI,1904,28 DE MAYO (SAN JOSE DE YACUAMBI),190450,19B00043,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGUE DE EDUCACION BASICA JAIME ROLDOS AGUILERA,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,2,0,2,14,12,26,13
ZONA 4,MANABI,13,CHONE,1303,CHIBUNGA,130354,13H01234,JOSE MARIA VELAZ,Educación Regular,EGB y Bachillerato,Fiscomisional,RuralINEC,Costa,Hispana,A Distancia,Matutina,Prestado,Terrestre,2,3,5,13,19,32,6.4
ZONA 6,MORONA SANTIAGO,14,TIWINTZA,1412,SAN JOSE MORONA,141251,14B00425,CECIB DE EDUCACION BASICA NATALIA CHIRIAP,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Fluvial,1,1,2,26,21,47,23.5
ZONA 4,MANABI,13,PEDERNALES,1317,10 DE AGOSTO,131752,13H04579,ESCUELA DE EDUCACION BASICA 4 DE JUNIO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,35,26,61,30.5
ZONA 4,MANABI,13,BOLIVAR,1302,CALCETA,130250,13H00855,ESCUELA DE EDUCACION BASICA FISCAL PRESIDENTE ROLDOS,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Fluvial,1,1,2,22,23,45,22.5
ZONA 6,MORONA SANTIAGO,14,TAISHA,1409,HUASAGA,140951,14B00266,CECIB DE EDUCACIÓN BASICA TANCHIM,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Aérea,0,1,1,18,22,40,40
ZONA 1,IMBABURA,10,IBARRA,1001,SAN FRANCISCO,100104,10H00099,UNIDAD EDUCATIVA MARIANO SUAREZ VEINTIMILLA,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,41,21,62,640,623,1263,20.37096774
ZONA 4,MANABI,13,EL CARMEN,1304,EL CARMEN,130401,13H01455,UNIDAD EDUCATIVA MANUEL ESPINALES SANTANA,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,22,3,25,372,397,769,30.76
ZONA 5,GUAYAS,9,DAULE,906,LOS LOJAS (ENRIQUE BAQUERIZO MORENO),90656,09H03443,UNIDAD EDUCATIVA VICTORIA TORRES DE NEIRA,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,17,10,27,310,301,611,22.62962963
ZONA 6,AZUAY,1,SIGSIG,109,SAN JOSE DE RARANGA,10956,01H01429,UNIDAD EDUCATIVA SAN JOSÉ DE RARANGA,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,13,6,19,220,193,413,21.73684211
ZONA 2,PICHINCHA,17,PUERTO QUITO,1709,PUERTO QUITO,170950,17H02666,MARTHA BUCARAM DE ROLDOS,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,4,3,7,7
ZONA 5,SANTA ELENA,24,SANTA ELENA,2401,MANGLARALTO,240154,24H00066,SANTA MARIA DEL FIAT,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscomisional,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,30,17,47,621,625,1246,26.5106383
ZONA 3,TUNGURAHUA,18,AMBATO,1801,PASA,180159,18H00242,UNIDAD EDUCATIVA PASA,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,25,11,36,321,349,670,18.61111111
ZONA 4,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO DE LOS TSACHILAS,2301,BOMBOLI,230102,23H00085,VILLA FLORIDA,Educación Regular,EGB y Bachillerato,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,29,19,48,529,460,989,20.60416667
